sr,nsecode,name,bsecode,per_chg,close,volume,TimeOfDay
5,BALKRISIND,Balkrishna Industries Limited,502355,5.0,2797.75,101328,20/05/2024 20:09:00
10,PURVA,Puravankara Projects Limited,532891,4.99,430.0,82031,20/05/2024 20:09:00
2,HAL,Hindustan Aeronautics Ltd,541154,4.39,4730.5,1691965,20/05/2024 20:09:00
4,DATAPATTNS,Data Patterns (India) Ltd,543428,4.15,3321.05,255937,20/05/2024 20:09:00
3,BEML,Beml Limited,500048,3.87,4169.7,185091,20/05/2024 20:09:00
9,VEDL,Vedanta Limited,500295,3.6,458.6,5346229,20/05/2024 20:09:00
7,AUROPHARMA,Aurobindo Pharma Limited,524804,3.21,1202.4,415670,20/05/2024 20:09:00
8,WELCORP,Welspun Corp Limited,532144,3.15,629.0,457305,20/05/2024 20:09:00
6,PRESTIGE,Prestige Estates Projects Limited,533274,2.48,1600.2,124240,20/05/2024 20:09:00
11,BALMLAWRIE,Balmer Lawrie & Company Limited,523319,2.22,313.7,567829,20/05/2024 20:09:00
1,ABB,Abb India Limited,500002,0.54,8416.65,31642,20/05/2024 20:09:00
,,,,,,,
,,,,,,,
,,,,,,,
1.0,SCHNEIDER,Schneider Electric Infrastructure Limited,534139,4.86,919.9,169967.0,20/05/2024 20:09:03
,,,,,,,
,,,,,,,
,,,,,,,
3.0,AFFLE,Affle India Ltd,542752,4.99,1233.85,204203.0,20/05/2024 20:09:06
4.0,SCHNEIDER,Schneider Electric Infrastructure Limited,534139,4.86,919.9,169967.0,20/05/2024 20:09:06
10.0,HFCL,Himachal Futuristic Communications Limited,500183,4.5,100.95,8533694.0,20/05/2024 20:09:06
9.0,LXCHEM,Laxmi Organic Industries Ltd,543277,3.52,259.1,648547.0,20/05/2024 20:09:06
1.0,GLAXO,Glaxosmithkline Pharmaceuticals Limited,500660,3.17,2359.55,126099.0,20/05/2024 20:09:06
6.0,SHYAMMETL,Shyam Metalics & Energy Ltd,543299,3.15,644.25,561571.0,20/05/2024 20:09:06
2.0,BALAMINES,Balaji Amines Limited,530999,2.97,2277.3,44182.0,20/05/2024 20:09:06
5.0,RKFORGE,Ramkrishna Forgings Limited,532527,2.82,739.5,216848.0,20/05/2024 20:09:06
7.0,GMDCLTD,Gujarat Mineral Development Corporation Limited,532181,1.62,435.45,1092162.0,20/05/2024 20:09:06
8.0,DELHIVERY,Delhivery Ltd,543529,-4.17,434.85,1027013.0,20/05/2024 20:09:06
,,,,,,,
,,,,,,,
,,,,,,,
5.0,BALKRISIND,Balkrishna Industries Limited,502355,5.0,2797.75,101328.0,20/05/2024 20:10:05
10.0,PURVA,Puravankara Projects Limited,532891,4.99,430.0,82031.0,20/05/2024 20:10:05
2.0,HAL,Hindustan Aeronautics Ltd,541154,4.39,4730.5,1691965.0,20/05/2024 20:10:05
4.0,DATAPATTNS,Data Patterns (India) Ltd,543428,4.15,3321.05,255937.0,20/05/2024 20:10:05
3.0,BEML,Beml Limited,500048,3.87,4169.7,185091.0,20/05/2024 20:10:05
9.0,VEDL,Vedanta Limited,500295,3.6,458.6,5346229.0,20/05/2024 20:10:05
7.0,AUROPHARMA,Aurobindo Pharma Limited,524804,3.21,1202.4,415670.0,20/05/2024 20:10:05
8.0,WELCORP,Welspun Corp Limited,532144,3.15,629.0,457305.0,20/05/2024 20:10:05
6.0,PRESTIGE,Prestige Estates Projects Limited,533274,2.48,1600.2,124240.0,20/05/2024 20:10:05
11.0,BALMLAWRIE,Balmer Lawrie & Company Limited,523319,2.22,313.7,567829.0,20/05/2024 20:10:05
1.0,ABB,Abb India Limited,500002,0.54,8416.65,31642.0,20/05/2024 20:10:05
,,,,,,,
,,,,,,,
,,,,,,,
1.0,SCHNEIDER,Schneider Electric Infrastructure Limited,534139,4.86,919.9,169967.0,20/05/2024 20:10:08
,,,,,,,
,,,,,,,
,,,,,,,
3.0,AFFLE,Affle India Ltd,542752,4.99,1233.85,204203.0,20/05/2024 20:10:11
4.0,SCHNEIDER,Schneider Electric Infrastructure Limited,534139,4.86,919.9,169967.0,20/05/2024 20:10:11
10.0,HFCL,Himachal Futuristic Communications Limited,500183,4.5,100.95,8533694.0,20/05/2024 20:10:11
9.0,LXCHEM,Laxmi Organic Industries Ltd,543277,3.52,259.1,648547.0,20/05/2024 20:10:11
1.0,GLAXO,Glaxosmithkline Pharmaceuticals Limited,500660,3.17,2359.55,126099.0,20/05/2024 20:10:11
6.0,SHYAMMETL,Shyam Metalics & Energy Ltd,543299,3.15,644.25,561571.0,20/05/2024 20:10:11
2.0,BALAMINES,Balaji Amines Limited,530999,2.97,2277.3,44182.0,20/05/2024 20:10:11
5.0,RKFORGE,Ramkrishna Forgings Limited,532527,2.82,739.5,216848.0,20/05/2024 20:10:11
7.0,GMDCLTD,Gujarat Mineral Development Corporation Limited,532181,1.62,435.45,1092162.0,20/05/2024 20:10:11
8.0,DELHIVERY,Delhivery Ltd,543529,-4.17,434.85,1027013.0,20/05/2024 20:10:11
